date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:54	708/708	---MCZ	200	added ('OK')	text/plain	etag:W/%2262cfbffd-1a07%22	https://websitedemos.net/robots.txt		(from )
16:19:54	430858/430858	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jul%202025%2014:54:56%20GMT	https://websitedemos.net/business-consulting-02/?customize=template	E:/Mum/websitedemos.net/business-consulting-02/index6195.html	(from )
16:19:54	45738/45738	---MCZ	200	added ('OK')	text/css	etag:W/%2268514419-b2aa%22	https://websitedemos.net/business-consulting-02/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.3	E:/Mum/websitedemos.net/business-consulting-02/wp-content/themes/astra/assets/css/minified/main.min80dd.css	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:55	3501/3501	---MCZ	200	added ('OK')	text/css	etag:W/%2268514419-dad%22	https://websitedemos.net/business-consulting-02/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=4.11.3	E:/Mum/websitedemos.net/business-consulting-02/wp-content/themes/astra/assets/css/minified/menu-animation.min80dd.css	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:55	430858/430858	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jul%202025%2013:27:17%20GMT	https://websitedemos.net/business-consulting-02/	E:/Mum/websitedemos.net/business-consulting-02/index.html	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:55	79733/79733	---MCZ	200	added ('OK')	text/css	etag:W/%22687f79d0-13775%22	https://websitedemos.net/business-consulting-02/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.4.4	E:/Mum/websitedemos.net/business-consulting-02/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendfc3c.css	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:55	1248/1248	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22befc97e0026f2e35c172201e718f7428%22	https://websitedemos.net/business-consulting-02/feed/	E:/Mum/websitedemos.net/business-consulting-02/feed/index.html	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:55	422150/422150	---MCZ	200	added ('OK')	text/css	etag:W/%22687f78a2-67106%22	https://websitedemos.net/business-consulting-02/wp-content/plugins/latepoint/public/stylesheets/front.css?ver=5.1.94	E:/Mum/websitedemos.net/business-consulting-02/wp-content/plugins/latepoint/public/stylesheets/front7092.css	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:55	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%22687f79d0-308%22	https://websitedemos.net/business-consulting-02/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.4.4	E:/Mum/websitedemos.net/business-consulting-02/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorfc3c.css	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:55	21218/21218	---MCZ	200	added ('OK')	text/css	etag:W/%22687f7856-52e2%22	https://websitedemos.net/business-consulting-02/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.43.0	E:/Mum/websitedemos.net/business-consulting-02/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min2778.css	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:56	53422/53422	---MCZ	200	added ('OK')	text/css	etag:W/%22687f7856-d0ae%22	https://websitedemos.net/business-consulting-02/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.30.2	E:/Mum/websitedemos.net/business-consulting-02/wp-content/plugins/elementor/assets/css/frontend.mindabc.css	(from https://websitedemos.net/business-consulting-02/?customize=template)
16:19:56	1107/1107	---MCZ	200	added ('OK')	text/css	etag:W/%2265435606-453%22	https://websitedemos.net/business-consulting-02/wp-content/uploads/sites/777/elementor/css/post-5.css?ver=1698911750	E:/Mum/websitedemos.net/business-consulting-02/wp-content/uploads/sites/777/elementor/css/post-5572a.css	(from https://websitedemos.net/business-consulting-02/?customize=template)
